"longitude";"latitude"
-46,5891914616313;-23,1589425912572
-46,5422580245844;-23,1589425912572
-46,4953245875376;-23,1589425912572
-46,4483911504908;-23,1589425912572
-46,401457713444;-23,1589425912572
-46,3545242763972;-23,1589425912572
-46,3075908393504;-23,1589425912572
-46,2606574023036;-23,1589425912572
-46,2137239652568;-23,1589425912572
-46,16679052821;-23,1589425912572
-46,1198570911631;-23,1589425912572
-46,0729236541163;-23,1589425912572
-46,0259902170695;-23,1589425912572
-45,9790567800227;-23,1589425912572
-45,9321233429759;-23,1589425912572
-45,8851899059291;-23,1589425912572
-45,8382564688823;-23,1589425912572
-45,7913230318355;-23,1589425912572
-45,7443895947887;-23,1589425912572
-45,6974561577418;-23,1589425912572
-45,650522720695;-23,1589425912572
-45,6035892836482;-23,1589425912572
-46,6830583357249;-23,1120091542104
-46,6361248986781;-23,1120091542104
-46,5891914616313;-23,1120091542104
-46,5422580245844;-23,1120091542104
-46,4953245875376;-23,1120091542104
-46,4483911504908;-23,1120091542104
-46,401457713444;-23,1120091542104
-46,3545242763972;-23,1120091542104
-46,3075908393504;-23,1120091542104
-46,2606574023036;-23,1120091542104
-46,2137239652568;-23,1120091542104
-46,16679052821;-23,1120091542104
-46,1198570911631;-23,1120091542104
-46,0729236541163;-23,1120091542104
-46,0259902170695;-23,1120091542104
-45,9790567800227;-23,1120091542104
-45,9321233429759;-23,1120091542104
-45,8851899059291;-23,1120091542104
-45,8382564688823;-23,1120091542104
-45,7913230318355;-23,1120091542104
-45,7443895947887;-23,1120091542104
-45,6974561577418;-23,1120091542104
-45,650522720695;-23,1120091542104
-45,6035892836482;-23,1120091542104
-45,5566558466014;-23,1120091542104
-45,5097224095546;-23,1120091542104
-45,4627889725078;-23,1120091542104
-45,415855535461;-23,1120091542104
-45,3689220984142;-23,1120091542104
-46,7299917727717;-23,0650757171636
-46,6830583357249;-23,0650757171636
-46,6361248986781;-23,0650757171636
-46,5891914616313;-23,0650757171636
-46,5422580245844;-23,0650757171636
-46,4953245875376;-23,0650757171636
-46,4483911504908;-23,0650757171636
-46,401457713444;-23,0650757171636
-46,3545242763972;-23,0650757171636
-46,3075908393504;-23,0650757171636
-46,2606574023036;-23,0650757171636
-46,2137239652568;-23,0650757171636
-46,16679052821;-23,0650757171636
-46,1198570911631;-23,0650757171636
-46,0729236541163;-23,0650757171636
-46,0259902170695;-23,0650757171636
-45,9790567800227;-23,0650757171636
-45,9321233429759;-23,0650757171636
-45,8851899059291;-23,0650757171636
-45,8382564688823;-23,0650757171636
-45,7913230318355;-23,0650757171636
-45,7443895947887;-23,0650757171636
-45,6974561577418;-23,0650757171636
-45,650522720695;-23,0650757171636
-45,6035892836482;-23,0650757171636
-45,5566558466014;-23,0650757171636
-45,5097224095546;-23,0650757171636
-45,4627889725078;-23,0650757171636
-45,415855535461;-23,0650757171636
-45,3689220984142;-23,0650757171636
-45,3219886613673;-23,0650757171636
-45,2750552243205;-23,0650757171636
-46,7299917727717;-23,0181422801168
-46,6830583357249;-23,0181422801168
-46,6361248986781;-23,0181422801168
-46,5891914616313;-23,0181422801168
-46,5422580245844;-23,0181422801168
-46,4953245875376;-23,0181422801168
-46,4483911504908;-23,0181422801168
-46,401457713444;-23,0181422801168
-46,3545242763972;-23,0181422801168
-46,3075908393504;-23,0181422801168
-46,2606574023036;-23,0181422801168
-46,2137239652568;-23,0181422801168
-46,16679052821;-23,0181422801168
-46,1198570911631;-23,0181422801168
-46,0729236541163;-23,0181422801168
-46,0259902170695;-23,0181422801168
-45,9790567800227;-23,0181422801168
-45,9321233429759;-23,0181422801168
-45,8851899059291;-23,0181422801168
-45,8382564688823;-23,0181422801168
-45,7913230318355;-23,0181422801168
-45,7443895947887;-23,0181422801168
-45,6974561577418;-23,0181422801168
-45,650522720695;-23,0181422801168
-45,6035892836482;-23,0181422801168
-45,5566558466014;-23,0181422801168
-45,5097224095546;-23,0181422801168
-45,4627889725078;-23,0181422801168
-45,415855535461;-23,0181422801168
-45,3689220984142;-23,0181422801168
-45,3219886613673;-23,0181422801168
-45,2750552243205;-23,0181422801168
-46,7299917727717;-22,9712088430699
-46,6830583357249;-22,9712088430699
-46,6361248986781;-22,9712088430699
-46,5891914616313;-22,9712088430699
-46,5422580245844;-22,9712088430699
-46,4953245875376;-22,9712088430699
-46,4483911504908;-22,9712088430699
-46,401457713444;-22,9712088430699
-46,3545242763972;-22,9712088430699
-46,3075908393504;-22,9712088430699
-46,2606574023036;-22,9712088430699
-46,2137239652568;-22,9712088430699
-46,16679052821;-22,9712088430699
-46,1198570911631;-22,9712088430699
-46,0729236541163;-22,9712088430699
-46,0259902170695;-22,9712088430699
-45,9790567800227;-22,9712088430699
-45,9321233429759;-22,9712088430699
-45,8851899059291;-22,9712088430699
-45,8382564688823;-22,9712088430699
-45,7913230318355;-22,9712088430699
-45,7443895947887;-22,9712088430699
-45,6974561577418;-22,9712088430699
-45,650522720695;-22,9712088430699
-45,6035892836482;-22,9712088430699
-45,5566558466014;-22,9712088430699
-45,5097224095546;-22,9712088430699
-45,4627889725078;-22,9712088430699
-45,415855535461;-22,9712088430699
-45,3689220984142;-22,9712088430699
-45,3219886613673;-22,9712088430699
-45,2750552243205;-22,9712088430699
-45,2281217872737;-22,9712088430699
-45,1811883502269;-22,9712088430699
-45,1342549131801;-22,9712088430699
-45,0873214761333;-22,9712088430699
-45,0403880390865;-22,9712088430699
-44,9934546020397;-22,9712088430699
-46,7299917727717;-22,9242754060231
-46,6830583357249;-22,9242754060231
