"ID","longitude","latitude","topo","inout"
"X117",-46.2,-22.5,1545.71948242188,1
"X118",-46.15,-22.5,1388.40307617188,1
"X119",-46.1,-22.5,1241.85437011719,1
"X120",-46.05,-22.5,1126.4541015625,1
"X121",-46,-22.5,1114.23999023438,1
"X122",-45.95,-22.5,1087.17810058594,1
"X123",-45.9,-22.5,1002.12170410156,1
"X124",-45.85,-22.5,986.971069335938,1
"X125",-45.8,-22.5,986.971008300781,1
"X126",-45.75,-22.5,988.66650390625,1
"X127",-45.7,-22.5,1112.51623535156,1
"X128",-45.65,-22.5,1122.80187988281,1
"X129",-45.6,-22.5,1203.95239257812,1
"X130",-45.55,-22.5,1150.72180175781,1
"X131",-45.5,-22.5,1012.55438232422,1
"X132",-45.45,-22.5,1276.73608398438,1
"X133",-45.4,-22.5,1402.23303222656,1
"X134",-45.35,-22.5,1402.23303222656,1
"X135",-45.3,-22.5,1487.70300292969,1
"X136",-45.25,-22.5,1623.0390625,1
"X137",-45.2,-22.5,1684.02551269531,1
"X138",-45.15,-22.5,1568.88159179688,1
"X139",-46.55,-22.45,908.678588867188,1
"X140",-46.5,-22.45,876.250427246094,1
"X141",-46.45,-22.45,962.175537109375,1
"X142",-46.4,-22.45,1122.12097167969,1
"X143",-46.35,-22.45,1259.57434082031,1
"X144",-46.3,-22.45,1359.0126953125,1
"X145",-46.25,-22.45,1487.20849609375,1
"X146",-46.2,-22.45,1548.64221191406,1
"X147",-46.15,-22.45,1404.43920898438,1
"X148",-46.1,-22.45,1244.51672363281,1
"X149",-46.05,-22.45,1128.36584472656,1
"X150",-46,-22.45,1055.58837890625,1
"X151",-45.95,-22.45,985.896057128906,1
"X152",-45.9,-22.45,983.969604492188,1
"X153",-45.85,-22.45,1004.248046875,1
"X154",-45.8,-22.45,986.971008300781,1
"X155",-45.75,-22.45,996.777893066406,1
"X156",-45.7,-22.45,1046.49291992188,1
"X157",-45.65,-22.45,1002.35113525391,1
"X158",-45.6,-22.45,950.225463867188,1
"X159",-45.55,-22.45,944.490356445312,1
"X160",-45.5,-22.45,919.56103515625,1
"X161",-45.45,-22.45,1016.48071289062,1
"X162",-45.4,-22.45,1249.47521972656,1
"X163",-45.35,-22.45,1420.87158203125,1
"X164",-45.3,-22.45,1542.41711425781,1
"X165",-45.25,-22.45,1627.640625,1
"X166",-45.2,-22.45,1548.19580078125,1
"X167",-45.15,-22.45,1412.82238769531,1
"X168",-45.1,-22.45,1604.380859375,1
"X169",-45.05,-22.45,1594.65747070312,1
"X170",-45,-22.45,1303.75122070312,1
"X171",-44.95,-22.45,1387.41040039062,1
"X172",-44.9,-22.45,1639.21081542969,1
"X173",-46.65,-22.4,927.542358398438,1
"X174",-46.6,-22.4,927.902648925781,1
"X175",-46.55,-22.4,864.428466796875,1
"X176",-46.5,-22.4,864.428527832031,1
"X177",-46.45,-22.4,913.614562988281,1
"X178",-46.4,-22.4,1080.69030761719,1
"X179",-46.35,-22.4,1143.37353515625,1
"X180",-46.3,-22.4,1274.61083984375,1
"X181",-46.25,-22.4,1360.66772460938,1
"X182",-46.2,-22.4,1417.27380371094,1
"X183",-46.15,-22.4,1445.30688476562,1
"X184",-46.1,-22.4,1277.98937988281,1
"X185",-46.05,-22.4,1116.60437011719,1
"X186",-46,-22.4,962.731018066406,1
"X187",-45.95,-22.4,886.631103515625,1
"X188",-45.9,-22.4,936.414672851562,1
"X189",-45.85,-22.4,1090.03161621094,1
"X190",-45.8,-22.4,1003.31896972656,1
"X191",-45.75,-22.4,940.795043945312,1
"X192",-45.7,-22.4,864.786926269531,1
"X193",-45.65,-22.4,886.503662109375,1
"X194",-45.6,-22.4,864.940063476562,1
"X195",-45.55,-22.4,865.524597167969,1
"X196",-45.5,-22.4,864.932556152344,1
"X197",-45.45,-22.4,906.167907714844,1
"X198",-45.4,-22.4,995.153015136719,1
"X199",-45.35,-22.4,1273.8544921875,1
"X200",-45.3,-22.4,1442.95593261719,1
"X201",-45.25,-22.4,1542.86572265625,1
"X202",-45.2,-22.4,1479.90795898438,1
"X203",-45.15,-22.4,1408.0078125,1
"X204",-45.1,-22.4,1500.52734375,1
"X205",-45.05,-22.4,1544.12219238281,1
"X206",-45,-22.4,1319.37023925781,1
"X207",-44.95,-22.4,1383.49096679688,1
"X208",-44.9,-22.4,1655.94787597656,1
"X209",-44.85,-22.4,1926.42309570312,1
"X210",-46.65,-22.35,849.8212890625,1
"X211",-46.6,-22.35,864.805419921875,1
"X212",-46.55,-22.35,864.428466796875,1
"X213",-46.5,-22.35,864.428466796875,1
"X214",-46.45,-22.35,883.239196777344,1
"X215",-46.4,-22.35,987.378540039062,1
"X216",-46.35,-22.35,997.765625,1
"X217",-46.3,-22.35,1074.28015136719,1
"X218",-46.25,-22.35,1150.9501953125,1
"X219",-46.2,-22.35,1106.658203125,1
"X220",-46.15,-22.35,1121.24133300781,1
"X221",-46.1,-22.35,1081.92626953125,1
"X222",-46.05,-22.35,1008.49725341797,1
"X223",-46,-22.35,887.528686523438,1
"X224",-45.95,-22.35,864.428466796875,1
"X225",-45.9,-22.35,864.428466796875,1
"X226",-45.85,-22.35,912.060546875,1
"X227",-45.8,-22.35,962.125610351562,1
"X228",-45.75,-22.35,930.080871582031,1
"X229",-45.7,-22.35,864.428466796875,1
"X230",-45.65,-22.35,864.428466796875,1
"X231",-45.6,-22.35,864.428466796875,1
"X232",-45.55,-22.35,864.428466796875,1
"X233",-45.5,-22.35,933.307006835938,1
"X234",-45.45,-22.35,1034.6796875,1
"X235",-45.4,-22.35,1135.87341308594,1
"X236",-45.35,-22.35,1306.94873046875,1
"X237",-45.3,-22.35,1504.62512207031,1
"X238",-45.25,-22.35,1562.3564453125,1
"X239",-45.2,-22.35,1557.15087890625,1
"X240",-45.15,-22.35,1522.75988769531,1
"X241",-45.1,-22.35,1402.68798828125,1
"X242",-45.05,-22.35,1245.18908691406,1
"X243",-45,-22.35,1255.18579101562,1
"X244",-44.95,-22.35,1228.27392578125,1
"X245",-44.9,-22.35,1225.09631347656,1
"X246",-44.85,-22.35,1500.826171875,1
"X247",-44.8,-22.35,1894.79052734375,1
"X248",-44.75,-22.35,2018.81799316406,1
"X249",-44.7,-22.35,2146.95190429688,1
"X250",-44.65,-22.35,2258.73120117188,1
"X251",-46.7,-22.3,765.150512695312,1
"X252",-46.65,-22.3,826.273315429688,1
"X253",-46.6,-22.3,872.508361816406,1
"X254",-46.55,-22.3,864.428466796875,1
"X255",-46.5,-22.3,864.428466796875,1
"X256",-46.45,-22.3,864.428466796875,1
"X257",-46.4,-22.3,913.8935546875,1
"X258",-46.35,-22.3,949.972290039062,1
"X259",-46.3,-22.3,881.423095703125,1
"X260",-46.25,-22.3,910.170593261719,1
"X261",-46.2,-22.3,869.477478027344,1
"X262",-46.15,-22.3,877.263671875,1
"X263",-46.1,-22.3,884.256774902344,1
"X264",-46.05,-22.3,864.428527832031,1
"X265",-46,-22.3,864.428466796875,1
"X266",-45.95,-22.3,864.428466796875,1
"X267",-45.9,-22.3,864.428527832031,1
"X268",-45.85,-22.3,864.428466796875,1
"X269",-45.8,-22.3,906.931091308594,1
"X270",-45.75,-22.3,1075.15405273438,1
"X271",-45.7,-22.3,925.0439453125,1
"X272",-45.65,-22.3,864.428466796875,1
"X273",-45.6,-22.3,864.428466796875,1
"X274",-45.55,-22.3,968.823974609375,1
"X275",-45.5,-22.3,1118.10205078125,1
"X276",-45.45,-22.3,1207.919921875,1
"X277",-45.4,-22.3,1322.56127929688,1
"X278",-45.35,-22.3,1531.97900390625,1
"X279",-45.3,-22.3,1600.93041992188,1
"X280",-45.25,-22.3,1650.4287109375,1
"X281",-45.2,-22.3,1564.97094726562,1
