V1;V2
-41,21235288;-18,87528303
-41,21172216;-18,87487398
-41,21128296;-18,87439401
-41,21079804;-18,87414498
-41,21031312;-18,87394203
-41,21002008;-18,87360003
-41,21008812;-18,87311601
-41,21047008;-18,87258402
-41,21114112;-18,87198102
-41,21142696;-18,871542
-41,21176212;-18,87114798
-41,21202384;-18,87077799
-41,21218908;-18,87031701
-41,21232984;-18,86983299
-41,212251;-18,86902902
-41,212125;-18,86840901
-41,21185608;-18,86804298
-41,21168292;-18,86758497
-41,21138988;-18,86721903
-41,21109612;-18,86683104
-41,21082684;-18,86646501
-41,21062992;-18,86596101
-41,21040708;-18,86531796
-41,21021016;-18,86486004
-41,20998516;-18,86401098
-41,20990812;-18,86350599
-41,20990416;-18,86300001
-41,21002008;-18,86249304
-41,21013708;-18,86205501
-41,21047008;-18,86150097
-41,21051508;-18,86106402
-41,210559;-18,86058
-41,21069904;-18,86007303
-41,21064684;-18,85961403
-41,21064108;-18,85887801
-41,21044308;-18,85830498
-41,21029404;-18,85786902
-41,21012088;-18,85738797
-41,20985088;-18,85692996
-41,20936308;-18,856359
-41,20902216;-18,85603896
-41,20868088;-18,85565097
-41,20838712;-18,85526298
-41,20771104;-18,85519899
-41,20715484;-18,85520304
-41,20667316;-18,85529898
-41,20636212;-18,85564602
-41,205978;-18,85597101
-41,20557084;-18,85632003
-41,20523496;-18,85662099
-41,20485192;-18,85699197
-41,20439688;-18,85740903
-41,20406208;-18,857826
-41,20368012;-18,858312
-41,20322688;-18,85898196
-41,20236288;-18,859725
-41,20188408;-18,86018904
-41,20155108;-18,86072004
-41,20112016;-18,86115996
-41,20063992;-18,86157801
-41,20025688;-18,86192604
-41,19987384;-18,862389
-41,19949116;-18,86273703
-41,19903216;-18,86267097
-41,19828192;-18,86258502
-41,19767892;-18,86263596
-41,19719508;-18,86259402
-41,19659208;-18,86268996
-41,19611004;-18,86278599
-41,19531192;-18,86274603
-41,19475788;-18,862866
-41,19403392;-18,86291703
-41,19323616;-18,86283099
-41,19275304;-18,86283504
-41,1921;-18,86277096
-41,19137604;-18,86277699
-41,19086988;-18,86294196
-41,19024204;-18,86299299
-41,18978412;-18,86311098
-41,18927904;-18,86329899
-41,18874804;-18,86344101
-41,18828904;-18,86339898
-41,18775696;-18,86331096
-41,18727312;-18,86324598
-41,18681412;-18,863226
-41,18628204;-18,86316102
-41,18567688;-18,863028
-41,18514408;-18,862848
-41,18458716;-18,86262201
-41,18402988;-18,86241996
-41,18347188;-18,86214798
-41,18284188;-18,86192298
-41,18228496;-18,86174298
-41,18180112;-18,86170104
-41,18126904;-18,86156703
-41,18076216;-18,86161698
-41,18025384;-18,86157504
-41,179554;-18,86158098
-41,179023;-18,86165397
-41,17844412;-18,86172696
-41,17793688;-18,86175396
-41,17733316;-18,86166702
-41,17682484;-18,861579
-41,17614696;-18,86144598
-41,17549284;-18,86117499
-41,17507992;-18,86094801
-41,174523;-18,86074497
-41,17408596;-18,86047299
-41,17362516;-18,860292
-41,17314096;-18,86015799
-41,172561;-18,86007096
-41,17195512;-18,85984497
-41,17132584;-18,85971204
-41,17055112;-18,85951098
-41,16972816;-18,85926402
-41,16924288;-18,85908402
-41,16878316;-18,85890402
-41,16820104;-18,85867803
-41,16764412;-18,85849902
-41,16723084;-18,85822596
-41,16667392;-18,85804596
-41,16614112;-18,85781997
-41,16556008;-18,857664
-41,16510108;-18,85769001
-41,16457188;-18,85792401
-41,16411684;-18,85836501
-41,16373308;-18,85866597
-41,16337308;-18,85899096
-41,16270384;-18,85986999
-41,16244212;-18,86030901
-41,16213108;-18,86063301
-41,16182004;-18,861003
-41,16155688;-18,86137299
-41,16107808;-18,86181399
-41,16062196;-18,86216202
-41,16028608;-18,86246397
-41,15975904;-18,86290497
-41,15932704;-18,86329899
-41,159016;-18,86362299
-41,15877912;-18,86417703
-41,15859012;-18,86463801
-41,15830392;-18,86509998
-41,15792088;-18,86556303
-41,15744388;-18,86632596
-41,15713392;-18,86678802
-41,15696796;-18,86720301
-41,15656296;-18,86780403
-41,15620584;-18,86849703
-41,15606616;-18,86902704
-41,15597292;-18,86953302
-41,155857;-18,87006303
-41,15569392;-18,87075396
-41,15564892;-18,87121404
-41,15558196;-18,87179004
-41,15556108;-18,87225003
-41,15551896;-18,87291702
-41,15542608;-18,873423
-41,15528496;-18,87390702
-41,15524212;-18,87448302
-41,15515104;-18,87515001
-41,15510712;-18,87563304
-41,15511;-18,87609303
-41,15518704;-18,87659901
-41,15533608;-18,87712596
-41,15543688;-18,87765498
-41,15556216;-18,87815898
-41,15566296;-18,87859602
-41,15566692;-18,879147
-41,15552688;-18,87974604
-41,15541204;-18,88039098
-41,15524716;-18,88089804
-41,15517912;-18,88138197
-41,15494188;-18,88200396
-41,15472912;-18,88244298
-41,15449116;-18,88290504
-41,15430216;-18,88348104
-41,15418588;-18,88394202
-41,15406816;-18,88437996
-41,15378304;-18,88488801
-41,15311308;-18,88569801
-41,15273004;-18,88609104
-41,15224908;-18,886302
-41,15154816;-18,88630704
-41,150943;-18,88617402
-41,150385;-18,88594803
-41,14980288;-18,88567704
-41,14936512;-18,88528896
-41,14883088;-18,88490196
-41,14832112;-18,88460703
-41,14790712;-18,88421904
-41,147397;-18,88392402
-41,14698516;-18,88371999
-41,14625796;-18,88349598
-41,14570212;-18,88345404
-41,14478484;-18,88355304
-41,14430604;-18,884016
-41,14406808;-18,88443198
-41,14373184;-18,88475697
-41,14332396;-18,885105
-41,14277208;-18,88550001
-41,14241208;-18,88584696
-41,141862;-18,88647201
-41,14109304;-18,88703001
-41,14058796;-18,88731
-41,14015596;-18,88763499
-41,13974988;-18,88816698
-41,13939096;-18,88856001
-41,13888588;-18,88888599
-41,138478;-18,88914204
-41,13794916;-18,88942203
-41,13700812;-18,88968204
-41,13640584;-18,889893
-41,13592416;-18,89005797
-41,13537084;-18,89029197
-41,13471996;-18,89050401
-41,13385416;-18,89092404
-41,13330084;-18,89127297
-41,13299016;-18,89164404
-41,13267912;-18,89199099
-41,13224712;-18,89238501
-41,13203292;-18,89277804
-41,131746;-18,89312499
-41,13138708;-18,89349498
-41,13083412;-18,89386704
-41,13042516;-18,89409996
-41,129919;-18,89421903
-41,12929188;-18,89431596
-41,12876016;-18,89432001
-41,12825184;-18,89427798
-41,127696;-18,89423604
-41,12721216;-18,89412399
-41,12672796;-18,89396703
-41,12617212;-18,89399403
-41,12578908;-18,89434197
-41,12557416;-18,89473401
-41,12521596;-18,89519697
-41,12502696;-18,89570403
-41,124789;-18,89621199
-41,12464896;-18,896742
-41,12445888;-18,89722602
-41,12426988;-18,89775603
-41,12405712;-18,89826399
-41,123844;-18,89872497
-41,12367912;-18,89925597
-41,12348904;-18,89971704
-41,12332416;-18,90015498
-41,12306208;-18,90063999
-41,12294508;-18,90112401
-41,12258616;-18,901494
-41,12220204;-18,90186498
-41,12179416;-18,90218997
-41,121216;-18,90237798
-41,12063712;-18,90252099
-41,12015508;-18,90261603
-41,11986816;-18,90296298
-41,11962912;-18,90337896
-41,11934292;-18,90379503
-41,11927416;-18,90427797
-41,11930188;-18,90473796
-41,11937892;-18,90522
-41,11962408;-18,90570096
-41,11984512;-18,90609102
-41,12008992;-18,90648
-41,120406;-18,906822
-41,120676;-18,90723402
-41,12084916;-18,90773901
-41,12094888;-18,90822096
-41,12066412;-18,90875196
-41,12025696;-18,90919197
-41,11972812;-18,909495
-41,11926912;-18,90959004
-41,11883604;-18,90982404
-41,11835508;-18,91003401
-41,11785;-18,910314
-41,11744104;-18,91061604
-41,11713;-18,91096299
-41,11686792;-18,91140201
-41,11650792;-18,91168002
-41,11612308;-18,91193598
-41,11576416;-18,91228401
-41,11538004;-18,91267803
-41,11504488;-18,91304802
-41,11478316;-18,91348704
-41,11452;-18,91390302
-41,11428204;-18,91434096
-41,114214;-18,91487097
-41,11422192;-18,91581399
-41,11434684;-18,91631799
-41,11471188;-18,91661499
-41,11505316;-18,91698003
-41,11537212;-18,91753002
-41,11561584;-18,917919
-41,11595784;-18,91837602
-41,11639704;-18,91878696
-41,116689;-18,91913004
-41,11702992;-18,91947204
-41,11734708;-18,91981503
-41,11776396;-18,92047797
-41,11808112;-18,920844
-41,11810884;-18,92137302
-41,11777512;-18,92192697
-41,11719696;-18,92209203
-41,11664112;-18,92202696
-41,11606008;-18,92191698
-41,11540596;-18,92173797
-41,11480116;-18,921627
-41,11434108;-18,92151603
-41,113737;-18,92156598
-41,11327908;-18,92168397
-41,11282116;-18,92187198
-41,112315;-18,92198997
-41,11173684;-18,92220201
-41,11123104;-18,92241198
-41,11079688;-18,92257704
-41,110389;-18,92290104
-41,10990912;-18,923319
-41,109525;-18,92357496
-41,10911604;-18,92385396
-41,10863508;-18,92411001
-41,10805692;-18,92436696
-41,10757596;-18,92464704
-41,10714288;-18,92485701
-41,10685596;-18,92527299
-41,10632892;-18,92582901
-41,10599412;-18,92617596
-41,10568308;-18,92656899
-41,10515712;-18,92730897
-41,10465384;-18,927819
-41,10429492;-18,92821203
-41,10398316;-18,92853702
-41,10369588;-18,92892996
-41,10348204;-18,92936799
-41,10336504;-18,92980602
-41,103369;-18,93026601
-41,10332616;-18,930933
-41,103306;-18,93143898
-41,10340716;-18,93198996
-41,10348384;-18,93251799
-41,10358608;-18,93323097
-41,10366204;-18,93366702
-41,10339996;-18,93412899
-41,10311304;-18,93449898
-41,10270516;-18,93477798
-41,10222204;-18,93484998
-41,10166512;-18,93476196
-41,10120504;-18,93465099
-41,10004188;-18,93429099
-41,09950908;-18,93411099
-41,09907204;-18,93386196
-41,09856192;-18,93351996
-41,098149;-18,93327003
-41,09768784;-18,93306699
-41,09703516;-18,93297996
-41,09648004;-18,93298401
-41,09592492;-18,93310299
-41,09541912;-18,93326697
-41,09488704;-18,93333996
-41,09442912;-18,93345804
-41,09397084;-18,93350799
-41,09286096;-18,93379203
-41,09240304;-18,93391002
-41,09196888;-18,934074
-41,09100516;-18,93440304
-41,09054688;-18,93456702
-41,09018688;-18,93486897
-41,08987584;-18,93521601
-41,08956516;-18,935586
-41,08925484;-18,936072
-41,08899204;-18,93646404
-41,08865616;-18,93676599
-41,08827204;-18,93709098
-41,08779;-18,937278
-41,08728312;-18,937305
-41,08667796;-18,93717099
-41,08614516;-18,93708297
-41,08551588;-18,93699603
-41,08488696;-18,93693096
-41,08440384;-18,93686598
-41,08372596;-18,936756
-41,08312188;-18,93675996
-41,08266288;-18,93673998
-41,08213116;-18,93672099
-41,08157496;-18,93672504
-41,08106808;-18,93675204
-41,08058496;-18,93684699
-41,08012704;-18,93703401
-41,07981708;-18,93745098
-41,07960396;-18,93800403
-41,07946212;-18,93844197
-41,07944088;-18,93887901
-41,07944916;-18,93979899
-41,07952512;-18,94025799
-41,07967308;-18,94071699
-41,079798;-18,94124502
-41,07989916;-18,94172697
-41,07999996;-18,94230099
-41,08010112;-18,94283001
-41,08015296;-18,94326597
-41,08034988;-18,94370202
-41,08044996;-18,94420701
-41,080455;-18,94473603
-41,08038696;-18,94533399
-41,08024584;-18,94584096
-41,08005684;-18,94639401
-41,07969684;-18,946719
-41,07911904;-18,94690701
-41,07853908;-18,94698
-41,07795696;-18,94677696
-41,07747312;-18,94668903
-41,07677112;-18,94644099
-41,07635784;-18,94623696
-41,07592116;-18,94594104
-41,07543516;-18,94562298
-41,07502116;-18,94521204
-41,07448692;-18,94489398
-41,07402504;-18,94455198
-41,07368412;-18,94425597
-41,07329496;-18,94395897
-41,07297816;-18,94357098
-41,07261204;-18,94320504
-41,072103;-18,94295601
-41,07156912;-18,94266099
-41,07122784;-18,94234203
-41,07079116;-18,94211496
-41,07030588;-18,94188798
-41,06982204;-18,941823
-41,06919492;-18,94201101
-41,06789388;-18,94243401
-41,06717208;-18,942876
-41,066739;-18,943155
-41,06635488;-18,943434
-41,06599488;-18,94373604
-41,065587;-18,94415301
-41,06513088;-18,94461597
-41,06455596;-18,94524102
-41,06412396;-18,94556601
-41,06379096;-18,94625802
-41,06369808;-18,946719
-41,06367792;-18,94724802
-41,06363292;-18,94773096
-41,06349216;-18,94819203
-41,06327904;-18,94876803
-41,06320992;-18,94922901
-41,06321388;-18,949689
-41,06326608;-18,95019399
-41,063274;-18,951183
-41,063229;-18,95162004
-41,06306304;-18,95208102
-41,06299392;-18,95251896
-41,06270808;-18,95298102
-41,06242188;-18,95346603
-41,06216016;-18,953973
-41,06194488;-18,95436603
-41,06178;-18,95489604
-41,06149416;-18,955404
-41,06123208;-18,95579703
-41,06092104;-18,95621301
-41,060538;-18,95672196
-41,060421;-18,95720499
-41,06054592;-18,95768703
-41,06074284;-18,95821497
-41,06094012;-18,95869602
-41,06128104;-18,95899302
-41,06171808;-18,95928903
-41,06210796;-18,95965398
-41,06242512;-18,95999697
-41,06274408;-18,96059196
-41,062941;-18,96102801
-41,06306592;-18,96155604
-41,06321496;-18,96208398
-41,06329092;-18,96252003
-41,06332008;-18,96318702
-41,06333016;-18,96447402
-41,06330892;-18,96491097
-41,06311992;-18,96539598
-41,06281104;-18,966042
-41,06257308;-18,96648003
-41,06226096;-18,96682797
-41,06182716;-18,96699204
-41,06127204;-18,96711102
-41,06062008;-18,96720696
-41,06016108;-18,96723396
-41,05965312;-18,96714504
-41,05895184;-18,96717303
-41,05834812;-18,967131
-41,05788804;-18,96711201
-41,05742796;-18,96695397
-41,05691892;-18,966843
-41,05641096;-18,96675399
-41,05585404;-18,96659703
-41,055345;-18,96641703
-41,054787;-18,966168
-41,05425312;-18,96587298
-41,05376892;-18,96580701
-41,05325988;-18,965673
-41,05280088;-18,96562998
-41,05231596;-18,96549498
-41,05171188;-18,96545403
-41,05122804;-18,965457
-41,05089288;-18,96580404
-41,05053288;-18,96612903
-41,05022184;-18,966591
-41,050008;-18,96707502
-41,050161;-18,96804
-41,05018908;-18,96852303
-41,05029096;-18,96916599
-41,050512;-18,96967098
-41,05080504;-18,97010496
-41,05104984;-18,97049502
-41,05139184;-18,97090596
-41,05175688;-18,971271
-41,052123;-18,97172901
-41,05217592;-18,97225704
-41,05217988;-18,97276302
-41,05196712;-18,97340904
-41,05172916;-18,97380099
-41,05139292;-18,97410303
-41,05091016;-18,97415199
-41,05035396;-18,97417899
-41,04974988;-18,97425198
